Student ID	Grade	1st	2nd	3rd	4th	5th	6th	7th
568	9	Schneider, E.- BIOLOGY	Filomeno, N.- SPAN I	Byrd, J.- INTRO/SOFTWARE TECH	Blankenship, C.- ACADEMIC CONTACT	Gault, K.- ALGEBRA: CONC & CONN	Gault, K.- ALGEBRA: C&C STRAT	Schellenberg, M.- 9TH GR LIT AND COMP
569	10	Dudek, K.- 10 LIT & COMP	Cason, C.- INTRO TEAM SPORTS	Lucky, J.- CHEM	Lohrmann, D.- ACADEMIC CONTACT	Henry, T.- GEOMETRY: CONC & CONN	Bell, R.- GEOMETRY: C&C STRAT	Daly, K.- WORLD HIST
570	11	Ford, P.- 11 AM LIT&COMP GF	Kendall, M.- ADV ORCH I	Jameson, A.- AP PRECALCULUS GIFTED	Kaiser, D.- AP PSYCH GF	Goodwin-Morales, A.- SPAN II GF	Rossino, K.- ACADEMIC CONTACT	Beall, S.- ENGY/POWER TECH
571	9	Stanley, L.- BEG BAND I	Chetram, M.- ALGEBRA: CONC & CONN	Rogers, C.- 9TH GR LIT AND COMP	Meyer, M.- ACADEMIC CONTACT	Jones, J.- PERSONAL FITNESS	MacKay, J.- BIOLOGY	Filomeno, N.- SPAN I
572	11	Nagle, J.- ADV ALG: CONC & CONN	Steele, E.- 11 AM LIT & COMP	Branch, J.- US HISTORY	Jameson, A.- ACADEMIC CONTACT	Harvey, J.- PHYSICS	Barahona, K.- SPAN I	Lee, W.- PHYSICAL COND
573	12	Phillips, L.- ADV CALC II GF	Duncan, K.- AP COMP S PRINC GF	Erwin, J.- AP CHEM GF	Witmer, C.- AP MACRECON GF	Witmer, C.- ACADEMIC CONTACT	Powers, C.- AP FRENCH GF	Rovie, E.- AP LIT/COMP GF
574	11	Huard, B.- PHYSICS	Cox, T.- ADV ALG: CONC & CONN	Thomas, J.- US HIST	Byrd, J.- FOUND ENG/TECH	Moore, J.- 11 AM LIT & COMP	Stebbins, L.- ACADEMIC CONTACT	Lee, W.- ADV WGT TN
575	9	McElroy, R.- PERSONAL FITNESS	Manners, J.- ALGEBRA: CONC & CONN	Manners, J.- ALGEBRA: C&C STRAT	Underwood, Z.- BIOLOGY	Debban, E.- VIS ART COMP II	Underwood, Z.- ACADEMIC CONTACT	Sochacki, E.- 9TH GR LIT AND COMP
576	11	Bryan, J.- PHYSICS	Steele, E.- 11 AM LIT & COMP	Jones, P.- GENERAL PE I	Meunier, P.- US HISTORY	Powers, C.- ACADEMIC CONTACT	Schmiedt, I.- ADV ALG: C&C STRAT	Nagle, J.- ADV ALG: CONC & CONN
577	10	Manners, J.- GEOMETRY: CONC & CONN	Underwood, Z.- CHEM	Sochacki, E.- WORLD HIST	Manners, J.- GEOMETRY: C&C STRAT	Manners, J.- ACADEMIC CONTACT	Sochacki, E.- 10 LIT & COMP	Manners, J.- STDYSKILLS A
578	10	Chetram, M.- GEOMETRY: CONC & CONN	Rungruang, R.- WORLD HIST	Tolmich, M.- CHEM	Stanley, L.- INT BAND I	Lucky, J.- ACADEMIC CONTACT	Dudek, K.- 10 LIT & COMP	Whisonant, M.- SPAN I
579	11	Clemens, W.- 11 AM LIT&COMP GF	Cicora, C.- ADV WGT TN	Csehy, B.- PHYSICS	Kaiser, D.- AP PSYCH GF	Backfisch, R.- AP CAL AB GF		
580	10	Backfisch, R.- GEOMETRY: CONC & CONN	Swanson, K.- WORLD HIST HON	Ollinger, L.- 10 LIT & COMP HON	Harvey, J.- ACADEMIC CONTACT	Nackers, K.- CHEM	Dunbar, H.- FINANCE LIT	Whisonant, M.- SPAN I
581	9	Stanley, L.- BEG BAND I	Whisonant, M.- SPAN I HON	Greco, L.- 9TH LIT AND COMP GF	Kim, M.- ACADEMIC CONTACT	Kim, M.- BIOLOGY GF	Blankenship, C.- AP HUM GEO GF	Bass, T.- ACCEL GEOM: C&C GF
582	12	Erwin, J.- AP CHEM GF	Mobley, D.- AP STAT GIFT	Gorun, J.- AP RES ELA-CAP GF	Zoeller, C.- ACADEMIC CONTACT	Koontz, A.- AP AM GOV GF	Rovie, E.- AP LANG COMP GF	Rossino, K.- AP LATIN GF
583	9	Duncan, M.- PERSONAL FITNESS	Allgood, A.- LATIN I HON	Martinez, R.- BIOLOGY HON	Gantz, K.- 9TH LIT AND COMP HON	Slade, R.- MKT PRIN	Duncan, M.- ACADEMIC CONTACT	Bass, T.- ACCEL GEOM: C&C
584	11	Branch, J.- US HISTORY GF	Lindahl, L.- ACTING I	Ford, P.- 11 AM LIT&COMP GF	Clemens, W.- ACADEMIC CONTACT	Kimbrough, M.- GERMAN II GF	Jameson, A.- CALC GF	Beall, S.- ENGY/POWER TECH
585	10	Erwin, J.- AP CHEM GF	Grigg, A.- AP WOR HIST GF	Duncan, K.- AP COMP S PRINC GF	Hembree, R.- ACADEMIC CONTACT	Martin, S.- SPAN III GF	Foote, M.- ADV ALG: CONC & CONN GF	Held, H.- 10 LIT & COMP GF
586	11	Ford, P.- 11 AM LIT&COMP GF	Beall, S.- PHYSICS GF	Lowe, L.- LATIN II GF	Lindahl, L.- ADV DRAMA II	Still, C.- INT MEN'S CHORUS I		
587	12	Gilbert, R.- INTRO TEAM SPORTS	Mohsen, A.- FOREN SCI	Fowler, M.- 12 BR LIT & COMP	Sochacki, E.- ECON & PERS FIN	Price, T.- INTRO BUSI TECH	Underwood, Z.- ACADEMIC CONTACT	Dunbar, H.- FINANCE LIT
588	10	Debban, E.- DRAW/PAINT I	Shelnutt, R.- WORLD HIST HON	Ollinger, L.- 10 LIT & COMP HON	Foote, M.- ADV ALG: CONC & CONN	Swanson, K.- ACADEMIC CONTACT	Goodwin-Morales, A.- SPAN II HON	Morrison, D.- CHEM
589	11	Vigardt, C.- VIS ART COMP II	Severtson, K.- 12 BR LIT & COMP	Thomas, D.- ADV ALG: CONC & CONN	Echevarria, A.- SPANISH IV	Beall, S.- PHYSICS HON	Rossino, K.- ACADEMIC CONTACT	Thomas, J.- US HISTORY HON
590	11	Chelko, K.- MOD DAY	Tshudy, E.- CLAS/CONT PART I	Chambers, K.- US HIST	Foote, M.- ADV ALG: CONC & CONN	Thomas, D.- ACADEMIC CONTACT	Crawford, A.- 11 AM LIT & COMP H	Beall, S.- ENGY/POWER TECH
591	11	Keyser, C.- PHYSICS HON	Velasco, K.- 11 AM LIT & COMP H	Lowe, L.- LAT II HON	Thomas, D.- ADV ALG: CONC & CONN			
592	11	Branch, J.- US HISTORY GF	Hanley, V.- PRECALCULUS	Bonnett, W.- PHYSICS GF	Chvatal, J.- AP BIOLOGY N EO GF	Stebbins, L.- 11 AM LIT&COMP GF	Branch, J.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH GF
593	11	Cox, T.- ADV ALG: CONC & CONN	Thomas, J.- US HIST	Csehy, B.- PHYSICS	Rockwell, S.- 11 AM LIT & COMP	Price, T.- INTRO BUSI TECH	Thornton, C.- ACADEMIC CONTACT	Cicora, C.- INTRO REC GAMES
594	11	Winzeler, M.- AP CAL AB GF	Bui, A.- A/V TECH/FILM I	Kaiser, D.- AP PSYCH GF	Echevarria, A.- SPANISH IV GF	Kling, D.- 11 AM LIT&COMP GF	Thomas, J.- ACADEMIC CONTACT	Delong, B.- US HISTORY GF
595	11	Harvey, J.- AP PHYSICS I GF	Velasco, K.- 11 AM LIT&COMP GF	Powers, C.- FRENCH III GF	Walters, J.- AP US HIST GF	Powers, C.- ACADEMIC CONTACT	Johnson, M.- PRECALCULUS	Swanson, K.- AP PSYCH GF
596	11	Myers, M.- PHYSICS GF	Haynes, J.- FOREN SCI GF	Ford, P.- 11 AM LIT&COMP GF	Harris, K.- ACADEMIC CONTACT	Backfisch, R.- AP CAL AB GF	Crews, L.- PHOTO III	Thomas, J.- US HISTORY GF
597	11	Beall, S.- ENGY/POWER TECH	Velasco, K.- 11 AM LIT&COMP GF	Jameson, A.- AP PRECALCULUS GIFTED	Jameson, A.- ACADEMIC CONTACT	Reason, J.- AP US HIST GF	Vigardt, C.- SCULPTURE I	Goodwin-Morales, A.- SPAN II GF
598	11	Harvey, J.- AP PHYSICS I GF	Rossino, K.- LATIN III GF	Stanley, L.- MSTRY BAND II	Walters, J.- AP US HIST GF	Hall, M.- ACADEMIC CONTACT	Crawford, A.- 11 AM LIT&COMP GF	Backfisch, R.- AP CAL AB GF
599	11	Masocco, J.- ADV ALG: CONC & CONN	Beall, S.- PHYSICS HON	Ford, P.- 11 AM LIT & COMP H	Walters, J.- AP US HIST	Chatham, H.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH	Chatham, H.- JOURNALISM III
600	11	Hanley, V.- PRECALCULUS	Parham, C.- US HISTORY GF	Goodwin-Morales, A.- SPAN II	Lee, W.- WGT TN	Jackson, D.- ACADEMIC CONTACT	Rockwell, S.- 11 AM LIT&COMP GF	Harvey, J.- AP PHYSICS I GF
601	11	Jameson, A.- AP CAL BC GF	Keyser, C.- AP PHYSICS I GF	Rossino, K.- LATIN III GF	Csehy, B.- ACADEMIC CONTACT	Kling, D.- 11 AM LIT&COMP GF	Kaiser, D.- AP US HIST GF	Erwin, J.- AP CHEM GF
602	11	Hughes, J.- AP US HIST GF	Keyser, C.- AP PHYSICS I GF	Rossino, K.- LATIN III GF	Still, C.- MSTRY WMS CHO II	Hall, M.- ACADEMIC CONTACT	Crawford, A.- 11 AM LIT&COMP GF	Backfisch, R.- AP CAL AB GF
603	11	Keyser, C.- PHYSICS HON	Clemens, W.- 11 AM LIT & COMP H	Gayle, M.- ADV ALG: CONC & CONN	Ernest, K.- FRENCH III	Johnson, M.- ACADEMIC CONTACT	Vigardt, C.- SCULPTURE I	Chambers, K.- US HIST
604	11	Hughes, J.- AP US HIST GF	Stebbins, L.- 11 AM LIT&COMP GF	Kendall, M.- MSTRY ORCH I	Csehy, B.- ACADEMIC CONTACT	Michael, C.- AP CAL BC GF	Kimbrough, M.- GERMAN III GF	Harvey, J.- AP PHYSICS I GF
605	11	Phillips, L.- ADV CALC II GF	Gorun, J.- 11 AM LIT&COMP GF	Stanley, L.- MSTRY BAND I	Settles Livers, C.- ACADEMIC CONTACT	Hembree, R.- FOREST SCIENCE	Chvatal, J.- AP BIOLOGY N EO GF	Kaiser, D.- AP US HIST GF
606	11	Myers, M.- PHYSICS GF	Stanley, L.- ADV BAND I	Meek, M.- ADV ALG: CONC & CONN	Branch, J.- US HISTORY GF	Jackson, D.- ACADEMIC CONTACT	Campbell, L.- LATIN II GF	Rockwell, S.- 11 AM LIT&COMP GF
607	11	Cox, T.- ADV ALG: CONC & CONN	Stanley, L.- ADV BAND I	Lee, W.- WGT TN	Delong, B.- US HISTORY HON	Moore, J.- 11 AM LIT & COMP	Stebbins, L.- ACADEMIC CONTACT	Beall, S.- ENGY/POWER TECH
608	11	Harrison, L.- 11 AM LIT & COMP	Huard, B.- PHYSICS	Thomas, J.- US HIST	Williams, R.- ACADEMIC CONTACT	Meyer, M.- AP PSYCH GF	Johnson, M.- PRECALCULUS	Dunbar, H.- FINANCE LIT
609	11	Jameson, A.- AP CAL BC GF	Gorun, J.- 11 AM LIT&COMP GF	Walters, J.- AP US HIST GF	Still, C.- MSTRY WMS CHO II	Held, H.- ACADEMIC CONTACT	Stephenson, M.- PEER LEADERS 1	Chvatal, J.- AP BIOLOGY N EO GF
610	11	Ford, P.- 11 AM LIT&COMP GF	Hanley, V.- PRECALCULUS	Stanley, L.- MSTRY BAND II	Thornton, C.- AP ENV SC GF	Fischer, D.- SPAN I HON	Keyser, C.- ACADEMIC CONTACT	Thomas, J.- US HISTORY GF
611	11	Hughes, J.- AP US HIST GF	Humphrey, E.- AP SPANISH GF	Tshudy, E.- BALLET II	Huard, B.- PHYSICS GF	Meyer, M.- AP PSYCH GF	Keyser, C.- ACADEMIC CONTACT	Backfisch, R.- AP CAL AB GF
612	11	Winzeler, M.- AP CAL AB GF	Walters, J.- AP US HIST GF	Kaiser, D.- AP PSYCH GF	Kling, D.- 11 AM LIT&COMP GF	Myers, M.- PHYSICS GF	Thornton, C.- ACADEMIC CONTACT	Phillips, L.- AP COMPSCI A GIF
613	11	Winzeler, M.- AP CAL AB GF	Humphrey, E.- AP SPANISH GF	Stephens, B.- ENG CONCEPTS	Keyser, C.- AP PHYSICS I GF	Kendall, M.- INT/ADV ORCHESTRA I	Thomas, J.- ACADEMIC CONTACT	Kling, D.- 11 AM LIT&COMP GF
614	11	Lester, G.- HOSP/TOURISM MGMT	Myers, M.- PHYSICS HON	Chambers, K.- US HIST	Ernest, K.- FRENCH III	Mathews, C.- ACADEMIC CONTACT	Crawford, A.- 11 AM LIT & COMP H	Thomas, D.- ADV ALG: CONC & CONN
615	10	Rockwell, S.- 11 AM LIT & COMP	Huard, B.- PHYSICS	Slade, R.- F M & RETAIL ESSEI	Jimenez, J.- SPAN II	Rotondi, A.- ACADEMIC CONTACT	Reason, J.- US HIST	Zoeller, C.- ADV ALG: CONC & CONN
616	11				MacKay, J.- FOREN SCI	Csehy, B.- PHYSICS	Crawford, A.- 11 AM LIT & COMP H	Mobley, D.- ADV ALG: CONC & CONN
617	11	Freire, M.- ADV ALG: CONC & CONN (S)	Harrison, L.- 11 AM LIT & COMP	Parham, C.- US HISTORY (S)	Thompson, E.- ACADEMIC CONTACT	Chelko, K.- MAXWELL PM		
618	11		Johnson, M.- AP PRECALCULUS GIFTED	Edwards, S.- SPAN II GF	Haynes, J.- ACADEMIC CONTACT	Stebbins, L.- 11 AM LIT&COMP GF	Phillips, L.- AP COMPSCI A GIF	Bonnett, W.- PHYSICS GF
619	11	Branch, J.- US HISTORY GF	Meyer, M.- AP PSYCH GF	Rossino, K.- LATIN III GF	Keyser, C.- AP PHYSICS I GF	Humphrey, E.- ACADEMIC CONTACT	Thomas, D.- PRECALCULUS	Crawford, A.- 11 AM LIT&COMP GF
620	11	Csehy, B.- PHYSICS GF	Katz, P.- US HISTORY GF	Mincy, C.- EXERCISE AND WELLNESS	Winzeler, M.- PRECALCULUS	Meyer, M.- AP PSYCH GF	Stebbins, L.- ACADEMIC CONTACT	Stebbins, L.- 11 AM LIT&COMP GF
621	11	Harvey, J.- AP PHYSICS I GF	Walters, J.- AP US HIST GF	Stanley, L.- MSTRY BAND I	Jameson, A.- ACADEMIC CONTACT	Michael, C.- AP CAL BC GF	Campbell, L.- LATIN II GF	Kling, D.- 11 AM LIT&COMP GF
622	11	Clemens, W.- 11 AM LIT & COMP H	Myers, M.- PHYSICS HON	Jameson, A.- AP PRECALCULUS	Delong, B.- US HISTORY HON	Whisonant, M.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH	Humphrey, E.- SPAN III HON
623	11	Hanley, V.- PRECALCULUS	Clemens, W.- 11 AM LIT & COMP H	Huard, B.- PHYSICS HON	Campbell, T.- ACADEMIC CONTACT	Martin, S.- SPAN III HON	Parham, C.- US HISTORY HON	Debban, E.- JEWELRY METAL I
624	11	Nighbert, C.- WGT TN	Myers, M.- PHYSICS GF	Winzeler, M.- PRECALCULUS	Thomas, J.- US HISTORY GF	Fischer, D.- SPAN I HON	Thomas, J.- ACADEMIC CONTACT	Stebbins, L.- 11 AM LIT&COMP GF
625	11	Jameson, A.- AP CAL BC GF	Gorun, J.- 11 AM LIT&COMP GF	Humphrey, E.- SPAN III GF	Williams, R.- ACADEMIC CONTACT	Reason, J.- AP US HIST GF	Dunbar, H.- FINANCE LIT	Meyer, M.- AP PSYCH GF
626	11	Clemens, W.- 11 AM LIT & COMP H	Meyer, M.- AP PSYCH	Meek, M.- ADV ALG: CONC & CONN	Chvatal, J.- AP BIOLOGY N EO	Myers, M.- PHYSICS HON		
627	11	Lee, W.- ADV WGT TN	Rockwell, S.- 11 AM LIT & COMP	Chambers, K.- US HIST	Morrison, D.- PHYSICS	Hall, M.- ACADEMIC CONTACT	Mathews, C.- SPAN II	Cox, T.- ADV ALG: CONC & CONN
628	11	Lester, G.- HOSP/TOURISM ESSEN	Chambers, K.- US HIST	Thomas, D.- ADV ALG: CONC & CONN	Moore, J.- 11 AM LIT & COMP	Powers, C.- ACADEMIC CONTACT	Cason, C.- INTRO TEAM SPORTS	Chinik, P.- PHYSICS
629	10	Katz, P.- US HIST	Harrison, L.- 11 AM LIT & COMP	Lester, G.- HOSP/TOURISM ESSEN	Allgood, A.- ACADEMIC CONTACT	Harvey, J.- PHYSICS	Zoeller, C.- ADV ALG: CONC & CONN	Allgood, A.- LATIN I
630	11	Morrison, D.- PHYSICS	Mclendon, J.- PRECALCULUS	Thomas, J.- US HIST	Stebbins, L.- 11 AM LIT & COMP H	Jackson, D.- ACADEMIC CONTACT	Kendall, M.- INT ORCH II	Debban, E.- JEWELRY METAL I
631	11	Thomas, D.- PRECALCULUS	Chambers, K.- US HIST	Mincy, C.- BODY SCULP	Stebbins, L.- 11 AM LIT & COMP H	Johnson, M.- ACADEMIC CONTACT	Duncan, K.- AP COMP SCI PRINC	Csehy, B.- PHYSICS HON
632	11	Grigg, A.- US HISTORY	Schmiedt, I.- ADV ALG: C&C STRAT	Harvey, J.- PHYSICS	Jameson, A.- ACADEMIC CONTACT	Filomeno, N.- SPAN I	Held, H.- 11 AM LIT & COMP	Nagle, J.- ADV ALG: CONC & CONN
633	11	Rockwell, S.- 11 AM LIT & COMP	Harvey, J.- PHYSICS	Chambers, K.- US HIST	Harris, K.- ACADEMIC CONTACT	Bui, A.- A/V TECH/FILM II	Whisonant, M.- SPAN I	Zoeller, C.- ADV ALG: CONC & CONN
634	11	Stephens, B.- FOUND ENG/TECH	Meek, M.- ADV ALG: CONC & CONN	Thomas, J.- US HIST	Goodwin-Morales, A.- ACADEMIC CONTACT	Harvey, J.- PHYSICS	Cason, C.- INTRO TEAM SPORTS	Moore, J.- 11 AM LIT & COMP
635	11	Katz, P.- US HIST	Stanley, L.- ADV BAND I	Bonnett, W.- PHYSICS HON	Goodwin-Morales, A.- ACADEMIC CONTACT	Stebbins, L.- 11 AM LIT & COMP H	Hanley, V.- AP PRECALCULUS	Martin, S.- SPAN III
636	11	Linderman, A.- PS MVCALC(MA2551	Walters, J.- AP US HIST GF	Stanley, L.- MSTRY BAND II	Williams, R.- ACADEMIC CONTACT	Gorun, J.- 11 AM LIT&COMP GF	Kimbrough, M.- GERMAN III GF	Still, C.- AP MUS TH GIF
637	11	Myers, M.- PHYSICS HON	Velasco, K.- 11 AM LIT & COMP H	Echevarria, A.- SPAN III	Cicora, C.- ADV WGT TN	Held, H.- ACADEMIC CONTACT	Hanley, V.- AP PRECALCULUS	Delong, B.- US HISTORY HON
638	11	Ford, P.- 11 AM LIT&COMP GF	Johnson, M.- AP PRECALCULUS GIFTED	Stanley, L.- MSTRY BAND I	Huard, B.- PHYSICS GF	Powers, C.- ACADEMIC CONTACT	Campbell, L.- LATIN II GF	House, B.- TECH THEATRE I
639	11	Csehy, B.- PHYSICS GF	Cason, C.- INTRO TEAM SPORTS	Echevarria, A.- SPAN III	Freire, M.- ADV ALG: CONC & CONN GF	Foote, M.- ACADEMIC CONTACT	Parham, C.- US HISTORY GF	Moore, J.- 11 AM LIT & COMP
640	11	Harvey, J.- AP PHYSICS I GF	Rossino, K.- LATIN III GF	Jameson, A.- AP PRECALCULUS GIFTED	Kling, D.- 11 AM LIT&COMP GF	Bui, A.- A/V TECH/FILM III	Keyser, C.- ACADEMIC CONTACT	Thomas, J.- US HISTORY GF
641	11	Katz, P.- US HIST	Myers, M.- PHYSICS HON	Johnson, M.- PRECALCULUS	McElroy, R.- ADV BODY SCULP	Kling, D.- 11 AM LIT & COMP H	Mclendon, J.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH
642	11	Thomas, J.- SOCIOLOGY	Rockwell, S.- 11 AM LIT & COMP	Meek, M.- ADV ALG: CONC & CONN	Parham, C.- US HIST	Whisonant, M.- ACADEMIC CONTACT	Walters, J.- CONTEM ISSUES	Myers, M.- PHYSICS
643	11	Hughes, J.- AP US HIST GF	Keyser, C.- AP PHYSICS I GF	Rossino, K.- LATIN III GF	Harris, K.- ACADEMIC CONTACT	Duncan, K.- AP COMP S PRINC GF	Gorun, J.- 11 AM LIT&COMP GF	Michael, C.- AP CAL BC GF
644	12			Ford, P.- 11 AM LIT&COMP GF	Huard, B.- PHYSICS GF	Jameson, A.- CALC GF		
645	11	Branch, J.- US HISTORY GF	Beall, S.- PHYSICS GF	Powers, C.- FRENCH III GF	Cason, C.- WGT TN	Jackson, D.- ACADEMIC CONTACT	Hanley, V.- AP PRECALCULUS GIFTED	Kling, D.- 11 AM LIT&COMP GF
646	11	Thomas, D.- PRECALCULUS	Echevarria, A.- SPAN III	Huard, B.- PHYSICS HON	Goodwin-Morales, A.- ACADEMIC CONTACT	Lester, G.- HOSP/TOURISM MGMT	Rockwell, S.- 11 AM LIT & COMP H	Thomas, J.- US HISTORY HON
647	11	Linderman, A.- PS MVCALC(MA2551	Chvatal, J.- AP BIOLOGY N EO GF	Walters, J.- AP US HIST GF	Keyser, C.- AP PHYSICS I GF	Timmons, S.- AP LANG COMP GF	Myers, M.- ACADEMIC CONTACT	Edwards, S.- AP SPANISH GF
648	11	Zoeller, C.- ADV ALG: CONC & CONN	Filomeno, N.- SPAN I	Schneider, E.- BIOLOGY	Jameson, A.- ACADEMIC CONTACT	Harvey, J.- PHYSICS	Held, H.- 11 AM LIT & COMP	Branch, J.- US HISTORY
649	11	Mobley, D.- ADV ALG: CONC & CONN	Huard, B.- PHYSICS	Barahona, K.- SPAN I	Held, H.- 11 AM LIT & COMP	Powers, C.- ACADEMIC CONTACT	Stephens, B.- ENG APPLICATION	Reason, J.- US HIST
650	11	Debban, E.- DRAW/PAINT I	Branch, J.- US HISTORY GF	Beall, S.- PHYSICS GF	Johnson, M.- PRECALCULUS	Martin, S.- SPAN III GF	Stebbins, L.- ACADEMIC CONTACT	Rockwell, S.- 11 AM LIT&COMP GF
651	11	Campbell, L.- LATIN I HON	Stanley, L.- ADV BAND I	Jameson, A.- AP PRECALCULUS GIFTED	Kling, D.- 11 AM LIT&COMP GF	Hall, M.- ACADEMIC CONTACT	Kaiser, D.- AP US HIST GF	Harvey, J.- AP PHYSICS I GF
652	11	Johnson, M.- AP PRECALCULUS GIFTED	Stanley, L.- ADV BAND I	Huard, B.- PHYSICS GF	Kling, D.- 11 AM LIT&COMP GF	Byrd, J.- FOUND ENG/TECH	Mclendon, J.- ACADEMIC CONTACT	
653	11	Morrison, D.- PHYSICS	Masocco, J.- ADV ALG: CONC & CONN	Lowe, L.- LAT II HON	Thomas, J.- US HISTORY HON	Settles Livers, C.- NAT RES MGMT	Mclendon, J.- ACADEMIC CONTACT	Velasco, K.- 11 AM LIT & COMP H
654	11	Mclendon, J.- PRECALCULUS	Beall, S.- PHYSICS HON	Walters, J.- AP US HIST	Gault, K.- ACADEMIC CONTACT	Kimbrough, M.- GERMAN II HON	Stephens, B.- ENG APPLICATION	Velasco, K.- 11 AM LIT & COMP H
655	11	Powers, C.- FRENCH II	Huard, B.- PHYSICS	Foote, M.- ADV ALG: CONC & CONN	Thomas, J.- US HISTORY HON	Meyer, M.- AP PSYCH	Chouloute, J.- ACADEMIC CONTACT	Rockwell, S.- 11 AM LIT & COMP H
656	11	Linderman, A.- PS MVCALC(MA2551	Keyser, C.- AP PHYSICS I GF	Rossino, K.- LATIN III GF	Branch, J.- US HISTORY GF	Cox, T.- ACADEMIC CONTACT	Gorun, J.- 11 AM LIT&COMP GF	Still, C.- AP MUS TH GIF
657	11	Hughes, J.- AP US HIST GF	Myers, M.- PHYSICS GF	Kimbrough, M.- GERMAN II	Goodwin-Morales, A.- ACADEMIC CONTACT	Still, C.- ADV MEN'S CHORUS I	Crawford, A.- 11 AM LIT&COMP GF	Jameson, A.- AP PRECALCULUS GIFTED
658	11	Debban, E.- DRAW/PAINT I	Cox, T.- ADV ALG: CONC & CONN	Goodwin-Morales, A.- SPAN II	Huard, B.- PHYSICS HON	Cox, T.- ACADEMIC CONTACT	Parham, C.- US HISTORY HON	Crawford, A.- 11 AM LIT & COMP H
659	11	Thomas, D.- PRECALCULUS	Myers, M.- PHYSICS HON	Katz, P.- US HISTORY HON	Stebbins, L.- 11 AM LIT & COMP H	Whisonant, M.- ACADEMIC CONTACT	Dunbar, H.- FINANCE LIT	Jimenez, J.- SPAN II
660	11	Lowe, L.- LAT II HON	Katz, P.- US HISTORY HON	Stanley, L.- MSTRY BAND I	Campbell, T.- ACADEMIC CONTACT	Winzeler, M.- PRECALCULUS	Costigan, C.- BEG JAZZ I	Bonnett, W.- PHYSICS HON
661	11	Jackson, D.- FINANCE LIT	Boyt, M.- ECON & PERS FIN	Beall, S.- PHYSICS GF	Kling, D.- 11 AM LIT&COMP GF	Jackson, D.- ACADEMIC CONTACT	Hanley, V.- AP PRECALCULUS GIFTED	Echevarria, A.- SPANISH IV GF
662	11	Csehy, B.- PHYSICS GF	Vigardt, C.- VIS ART COMP II	Stanley, L.- MSTRY BAND I	Clemens, W.- ACADEMIC CONTACT	Stebbins, L.- 11 AM LIT&COMP GF	Parham, C.- US HISTORY GF	Jameson, A.- AP PRECALCULUS GIFTED
663	11	Martin, S.- SPAN III	Clemens, W.- 11 AM LIT&COMP GF	Thornton, S.- ANAT & PHY GF	Walters, J.- AP US HIST GF	Foote, M.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH GF	Backfisch, R.- AP CAL AB GF
664	11	Clemens, W.- 11 AM LIT&COMP GF	Humphrey, E.- AP SPANISH GF	Thornton, S.- ANAT & PHY GF	Hanley, V.- AP CAL AB GF	Beall, S.- PHYSICS GF		
665	11	Hughes, J.- AP US HIST GF	Keyser, C.- AP PHYSICS I GF	Kendall, M.- MSTRY ORCH I	Haynes, J.- ACADEMIC CONTACT	Meyer, M.- AP PSYCH GF	Gorun, J.- 11 AM LIT&COMP GF	Michael, C.- AP CAL BC GF
666	11	Huard, B.- PHYSICS	Chambers, K.- US HIST	Campbell, L.- LATIN I	Thomas, D.- ADV ALG: CONC & CONN	Thomas, D.- ACADEMIC CONTACT	Crawford, A.- 11 AM LIT & COMP H	Creasy, A.- MKT WS I
667	11	Harrison, L.- 11 AM LIT & COMP	Chambers, K.- US HIST	Csehy, B.- PHYSICS	Jimenez, J.- SPAN II	Held, H.- ACADEMIC CONTACT	Settles Livers, C.- BASIC AGRI SCI	Thomas, D.- ADV ALG: CONC & CONN
668	11	Mclendon, J.- PRECALCULUS	Gorun, J.- 11 AM LIT & COMP H	Bonnett, W.- PHYSICS HON	Williams, R.- ACADEMIC CONTACT	Tshudy, E.- DANCE II	Swanson, K.- AP PSYCH	Delong, B.- US HISTORY HON
669	11		Rossino, K.- LATIN III HON	Foote, M.- ADV ALG: CONC & CONN	Huard, B.- PHYSICS HON	Powers, C.- ACADEMIC CONTACT	Crawford, A.- 11 AM LIT & COMP H	Debban, E.- JEWELRY METAL I
670	11			Jameson, A.- AP PRECALCULUS GIFTED	Huard, B.- PHYSICS GF	Kling, D.- 11 AM LIT&COMP GF	Thornton, C.- ACADEMIC CONTACT	House, B.- TECH THEATRE II
671	11	Branch, J.- US HISTORY GF	Gorun, J.- 11 AM LIT&COMP GF	Masocco, J.- ADV ALG: CONC & CONN GF	Still, C.- MSTRY WMS CHO II	Jackson, D.- ACADEMIC CONTACT	Kimbrough, M.- GERMAN III GF	Chvatal, J.- AP BIOLOGY N EO GF
672	11	Bryan, J.- PHYSICS	Campbell, L.- LATIN I	Nagle, J.- ADV ALG: CONC & CONN	Csehy, B.- ACADEMIC CONTACT	Steele, E.- 11 AM LIT & COMP	Debban, E.- VIS ART COMP II	Hernick, D.- US HISTORY
673	11	Myers, M.- PHYSICS HON	Thomas, J.- US HIST	Allgood, A.- LATIN III	Ford, P.- ACADEMIC CONTACT	Winzeler, M.- PRECALCULUS	Walters, J.- CONTEM ISSUES	Rockwell, S.- 11 AM LIT & COMP H
